時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-15T01:49:14,2,紅樓夢,ft-mixed-lr1e5-e2.0-0803,2.0,20,成功,78.3,fad72070206943bf92f39d2407f449ff,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT20.wav,
2026-08-15T01:50:32,2,紅樓夢,ft-mixed-lr1e5-e2.3-0731,2.0,20,成功,78.5,9ba962615b28472aa7dfea3435850823,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT20.wav,
2026-08-15T01:52:15,2,紅樓夢,lora-r32-mixed-e7.6-0731,2.0,20,成功,103.0,b5c71c6c94ee48ad89d18613de7b5d27,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/lora-r32-mixed-e7.6-0731_CFG2.0_DIT20.wav,
2026-08-15T01:53:29,2,新聞,ft-mixed-lr1e5-e1.6-0801,2.0,20,成功,73.9,47049478624b4de486d3fc4fba826f23,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT20.wav,
2026-08-15T01:54:49,2,新聞,ft-mixed-lr1e5-e2.0-0803,2.0,20,成功,79.4,7f84de889543445eb2848de5ab768904,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT20.wav,
2026-08-15T01:56:02,2,新聞,ft-mixed-lr1e5-e2.3-0731,2.0,20,成功,72.7,e04b366a14ef43cdad97dbc27606b601,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT20.wav,
2026-08-15T01:57:43,2,新聞,lora-r32-mixed-e7.6-0731,2.0,20,成功,101.6,38a9106eb1d44a6388223930fe7111f7,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/lora-r32-mixed-e7.6-0731_CFG2.0_DIT20.wav,
2026-08-15T01:58:52,2,三國演義,ft-mixed-lr1e5-e1.6-0801,2.0,30,成功,68.8,10e17b3c546f41b4b2633bb33fe6d1c3,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT30.wav,
2026-08-15T02:00:06,2,三國演義,ft-mixed-lr1e5-e2.0-0803,2.0,30,成功,73.2,01c397b5821f4abc85354418b8000cac,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT30.wav,
2026-08-15T02:01:10,2,三國演義,ft-mixed-lr1e5-e2.3-0731,2.0,30,成功,63.9,9b09127498724e95ac77b18ae1c07145,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT30.wav,
2026-08-15T02:02:46,2,三國演義,lora-r32-mixed-e7.6-0731,2.0,30,成功,95.9,664115e2a656441497939a1c99dd59cb,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/lora-r32-mixed-e7.6-0731_CFG2.0_DIT30.wav,
2026-08-15T02:04:03,2,紅樓夢,ft-mixed-lr1e5-e1.6-0801,2.0,30,成功,77.1,9384f583f0f54d318091dd199eb2d5b2,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT30.wav,
2026-08-15T02:05:21,2,紅樓夢,ft-mixed-lr1e5-e2.0-0803,2.0,30,成功,78.7,674bc0862843453795f5ffdc723627e4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT30.wav,
2026-08-15T02:06:45,2,紅樓夢,ft-mixed-lr1e5-e2.3-0731,2.0,30,成功,82.9,941f2aa3784947569ec1a56e19acaac1,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT30.wav,
2026-08-15T02:08:29,2,紅樓夢,lora-r32-mixed-e7.6-0731,2.0,30,成功,104.2,17ade30af3ad4a8d84068fdb545a7618,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/lora-r32-mixed-e7.6-0731_CFG2.0_DIT30.wav,
2026-08-15T02:09:45,2,新聞,ft-mixed-lr1e5-e1.6-0801,2.0,30,成功,76.1,8a31f1a6e69a46e3b4065283194a1a42,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT30.wav,
2026-08-15T02:10:56,2,新聞,ft-mixed-lr1e5-e2.0-0803,2.0,30,成功,70.6,54ea8e17cfe444bf84fe6a1106a7d5da,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT30.wav,
