時間,LLM,聲音,文本,結果,耗時(s),Seed,檔案路徑,備註
2026-08-17T22:28:05,V4,680男聲,氣象,成功,35.4,674513524,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V4_680男聲.wav,
2026-08-17T22:28:39,V4,680男聲,三國演義台語,成功,33.1,51619655,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V4_680男聲.wav,
2026-08-17T22:29:05,V4,680男聲,紅樓夢台語,成功,26.0,1284464178,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V4_680男聲.wav,
2026-08-17T22:29:40,V4,680男聲,氣象台語,成功,34.9,1289338539,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V4_680男聲.wav,
2026-08-17T22:30:24,V3g,489女聲,三國演義,成功,44.3,1252955513,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V3g_489女聲.wav,
2026-08-17T22:30:54,V3g,489女聲,紅樓夢,成功,29.6,1221510178,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V3g_489女聲.wav,
2026-08-17T22:31:24,V3g,489女聲,氣象,成功,30.0,1545582107,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V3g_489女聲.wav,
2026-08-17T22:31:52,V3g,489女聲,三國演義台語,成功,28.1,66921314,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V3g_489女聲.wav,
2026-08-17T22:32:26,V3g,489女聲,紅樓夢台語,成功,34.6,29684888,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V3g_489女聲.wav,
2026-08-17T22:32:58,V3g,489女聲,氣象台語,成功,31.7,957102230,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V3g_489女聲.wav,
2026-08-17T22:33:23,V3g,680男聲,三國演義,成功,24.7,1227830478,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V3g_680男聲.wav,
2026-08-17T22:33:53,V3g,680男聲,紅樓夢,成功,29.7,1664361170,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V3g_680男聲.wav,
2026-08-17T22:34:24,V3g,680男聲,氣象,成功,31.6,1888804113,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V3g_680男聲.wav,
2026-08-17T22:34:51,V3g,680男聲,三國演義台語,成功,26.6,803304667,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V3g_680男聲.wav,
2026-08-17T22:35:25,V3g,680男聲,紅樓夢台語,成功,33.8,2054338698,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V3g_680男聲.wav,
2026-08-17T22:35:57,V3g,680男聲,氣象台語,成功,32.0,2106699089,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V3g_680男聲.wav,
2026-08-17T22:36:50,V3a-best,489女聲,三國演義,成功,52.6,1642084773,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V3a-best_489女聲.wav,
2026-08-17T22:37:20,V3a-best,489女聲,紅樓夢,成功,30.7,1092857039,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V3a-best_489女聲.wav,
2026-08-17T22:37:58,V3a-best,489女聲,氣象,成功,38.0,769033155,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V3a-best_489女聲.wav,
2026-08-17T22:38:29,V3a-best,489女聲,三國演義台語,成功,30.8,563145440,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V3a-best_489女聲.wav,
2026-08-17T22:39:03,V3a-best,489女聲,紅樓夢台語,成功,33.3,867851658,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V3a-best_489女聲.wav,
2026-08-17T22:39:40,V3a-best,489女聲,氣象台語,成功,37.3,1359431137,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V3a-best_489女聲.wav,
2026-08-17T22:40:18,V3a-best,680男聲,三國演義,成功,38.3,834478132,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V3a-best_680男聲.wav,
2026-08-17T22:40:47,V3a-best,680男聲,紅樓夢,成功,28.1,1705227228,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V3a-best_680男聲.wav,
2026-08-17T22:41:25,V3a-best,680男聲,氣象,成功,38.6,1569149242,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V3a-best_680男聲.wav,
2026-08-17T22:41:58,V3a-best,680男聲,三國演義台語,成功,32.7,2041889757,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V3a-best_680男聲.wav,
2026-08-17T22:42:34,V3a-best,680男聲,紅樓夢台語,成功,35.9,1697383453,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V3a-best_680男聲.wav,
2026-08-17T22:43:09,V3a-best,680男聲,氣象台語,成功,35.3,826874278,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V3a-best_680男聲.wav,
2026-08-18T12:08:17,V5,1139男聲,三國演義,成功,38.3,1337668148,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V5_1139男聲.wav,
2026-08-18T12:08:56,V5,1139男聲,紅樓夢,成功,38.8,2065031727,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V5_1139男聲.wav,
2026-08-18T12:09:15,V5,1139男聲,氣象,失敗,19.6,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V5_1139男聲.wav,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-18T12:10:20,V5,1139男聲,氣象,失敗,11.9,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V5_1139男聲.wav,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-18T12:16:01,V5,1139男聲,氣象,成功,69.7,515884909,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V5_1139男聲.wav,
